Dat,Intercept,Value,Kg
320,-189989.40,-13866,6.3
321,-189989.40,-13895,6.3
322,-189989.40,-13849,6.3
323,-189989.40,-13866,6.3
324,-189989.40,-13825,6.3
325,-189989.40,-14029,6.3
326,-189989.40,-13915,6.3
327,-189989.40,-13926,6.3
328,-189989.40,-13801,6.3
329,-189989.40,-14020,6.3
330,-189989.40,-13868,6.3
331,-189989.40,-13993,6.3
332,-189989.40,-13857,6.3
333,-189989.40,-13760,6.3
334,-189989.40,-13905,6.3
335,-189989.40,-13892,6.3
336,-189989.40,-13860,6.3
337,-189989.40,-13883,6.3
338,-189989.40,-13768,6.3
339,-189989.40,-13773,6.3
340,-189989.40,-13977,6.3
341,-189989.40,-13794,6.3
342,-189989.40,-13762,6.3
343,-189989.40,-13951,6.3
344,-189989.40,-13832,6.3
345,-189989.40,-13798,6.3
346,-189989.40,-13845,6.3
347,-189989.40,-13892,6.3
348,-189989.40,-13735,6.3
349,-189989.40,-13850,6.3
350,-189989.40,-14004,6.3
351,-189989.40,-13791,6.3
352,-189989.40,-13807,6.3
353,-189989.40,-13895,6.3
354,-189989.40,-13707,6.3
355,-189989.40,-13978,6.3
356,-189989.40,-13813,6.3
357,-189989.40,-13794,6.3
358,-189989.40,-13803,6.3
359,-189989.40,-13847,6.3
360,-189989.40,-13801,6.3
361,-189989.40,-13937,6.3
362,-189989.40,-13995,6.3
363,-189989.40,-13852,6.3
364,-189989.40,-13853,6.3
365,-189989.40,-13763,6.3
366,-189989.40,-13826,6.3
367,-189989.40,-14016,6.3
368,-189989.40,-13961,6.3
369,-189989.40,-13883,6.3
370,-189989.40,-13737,6.3
371,-189989.40,-13849,6.3
372,-189989.40,-13779,6.3
373,-189989.40,-13828,6.3
374,-189989.40,-13920,6.3
375,-189989.40,-13867,6.3
376,-189989.40,-13735,6.3
377,-189989.40,-13843,6.3
378,-189989.40,-13771,6.3
379,-189989.40,-13882,6.3
380,-189989.40,-13969,6.3
381,-189989.40,-13876,6.3
382,-189989.40,-13745,6.3
383,-189989.40,-13902,6.3
384,-189989.40,-13712,6.3
385,-189989.40,-13817,6.3
386,-189989.40,-13920,6.3
387,-189989.40,-13807,6.3
388,-189989.40,-13701,6.3
389,-189989.40,-13806,6.3
390,-189989.40,-13819,6.3
391,-189989.40,-13930,6.3
392,-189989.40,-13842,6.3
393,-189989.40,-13757,6.3
394,-189989.40,-13770,6.3
395,-189989.40,-13814,6.3
396,-189989.40,-13762,6.3
397,-189989.40,-13799,6.3
398,-189989.40,-13787,6.3
399,-189989.40,-13806,6.3
400,-189989.40,82053,9.8
401,-189989.40,82147,9.8
402,-189989.40,82091,9.8
403,-189989.40,82040,9.8
404,-189989.40,81931,9.8
405,-189989.40,81964,9.8
406,-189989.40,81993,9.8
407,-189989.40,82053,9.8
408,-189989.40,82047,9.8
409,-189989.40,81865,9.8
410,-189989.40,82060,9.8
411,-189989.40,82095,9.8
412,-189989.40,81893,9.8
413,-189989.40,81988,9.8
414,-189989.40,82032,9.8
415,-189989.40,81923,9.8
416,-189989.40,81899,9.8
417,-189989.40,81923,9.8
418,-189989.40,82179,9.8
419,-189989.40,82079,9.8
420,-189989.40,82090,9.8
421,-189989.40,82086,9.8
422,-189989.40,81961,9.8
423,-189989.40,82036,9.8
424,-189989.40,81825,9.8
425,-189989.40,82029,9.8
426,-189989.40,81958,9.8
427,-189989.40,82024,9.8
428,-189989.40,82034,9.8
429,-189989.40,81877,9.8
430,-189989.40,81935,9.8
431,-189989.40,81888,9.8
432,-189989.40,82039,9.8
433,-189989.40,82056,9.8
434,-189989.40,82161,9.8
435,-189989.40,81946,9.8
436,-189989.40,81959,9.8
437,-189989.40,81924,9.8
438,-189989.40,82096,9.8
439,-189989.40,81950,9.8
440,-189989.40,82002,9.8
441,-189989.40,81910,9.8
442,-189989.40,81732,9.8
443,-189989.40,82043,9.8
444,-189989.40,82155,9.8
445,-189989.40,81890,9.8
446,-189989.40,82038,9.8
447,-189989.40,82063,9.8
448,-189989.40,82078,9.8
449,-189989.40,82138,9.8
450,-189989.40,82162,9.8
451,-189989.40,81979,9.8
452,-189989.40,81972,9.8
453,-189989.40,81994,9.8
454,-189989.40,82012,9.8
455,-189989.40,82194,9.8
456,-189989.40,82024,9.8
457,-189989.40,82069,9.8
458,-189989.40,81993,9.8
459,-189989.40,82039,9.8
460,-189989.40,82204,9.8
461,-189989.40,81984,9.8
462,-189989.40,81943,9.8
463,-189989.40,81877,9.8
