Intercept,Value,Kg,,3.55,3.56,3.57,Err with diff grads
-192396.5,199407,14.1,391803.5,13.90902425,13.9482046,13.98738495,0.039180350000001
-192396.5,199403,14.1,391799.5,13.90888225,13.9480622,13.98724215,0.039179950000001
-192396.5,199417,14.1,391813.5,13.90937925,13.9485606,13.98774195,0.03918135
-192396.5,199208,14.1,391604.5,13.90195975,13.9411202,13.98028065,0.039160450000002
-192396.5,199471,14.1,391867.5,13.91129625,13.950483,13.98966975,0.039186750000001
-192396.5,199507,14.1,391903.5,13.91257425,13.9517646,13.99095495,0.03919035
-192396.5,199418,14.1,391814.5,13.90941475,13.9485962,13.98777765,0.039181450000002
-192396.5,199429,14.1,391825.5,13.90980525,13.9489878,13.98817035,0.039182550000001
-192396.5,199544,14.1,391940.5,13.91388775,13.9530818,13.99227585,0.039194050000002
-192396.5,199438,14.1,391834.5,13.91012475,13.9493082,13.98849165,0.039183450000001
-192396.5,199478,14.1,391874.5,13.91154475,13.9507322,13.98991965,0.039187450000001
-192396.5,199628,14.1,392024.5,13.91686975,13.9560722,13.99527465,0.039202450000001
-192396.5,199529,14.1,391925.5,13.91335525,13.9525478,13.99174035,0.039192550000001
-192396.5,199370,14.1,391766.5,13.90771075,13.9468874,13.98606405,0.03917665
-192396.5,199424,14.1,391820.5,13.90962775,13.9488098,13.98799185,0.039182050000001
-192396.5,199604,14.1,392000.5,13.91601775,13.9552178,13.99441785,0.039200050000002
-192396.5,199453,14.1,391849.5,13.91065725,13.9498422,13.98902715,0.039184950000001
-192396.5,199392,14.1,391788.5,13.90849175,13.9476706,13.98684945,0.039178850000001
-192396.5,199434,14.1,391830.5,13.90998275,13.9491658,13.98834885,0.03918305
-192396.5,199463,14.1,391859.5,13.91101225,13.9501982,13.98938415,0.039185950000001
-192396.5,199430,14.1,391826.5,13.90984075,13.9490234,13.98820605,0.039182650000002
-192396.5,199383,14.1,391779.5,13.90817225,13.9473502,13.98652815,0.039177950000002
-192396.5,199464,14.1,391860.5,13.91104775,13.9502338,13.98941985,0.039186050000001
-192396.5,199416,14.1,391812.5,13.90934375,13.948525,13.98770625,0.03918125
-192396.5,199345,14.1,391741.5,13.90682325,13.9459974,13.98517155,0.03917415
-192396.5,199601,14.1,391997.5,13.91591125,13.955111,13.99431075,0.039199750000001
-192396.5,199386,14.1,391782.5,13.90827875,13.947457,13.98663525,0.039178250000001
-192396.5,199434,14.1,391830.5,13.90998275,13.9491658,13.98834885,0.03918305
-192396.5,199399,14.1,391795.5,13.90874025,13.9479198,13.98709935,0.039179550000001
-192396.5,199300,14.1,391696.5,13.90522575,13.9443954,13.98356505,0.039169650000001
-192396.5,199359,14.1,391755.5,13.90732025,13.9464958,13.98567135,0.03917555
-192396.5,199549,14.1,391945.5,13.91406525,13.9532598,13.99245435,0.039194550000001
-192396.5,199664,14.1,392060.5,13.91814775,13.9573538,13.99655985,0.039206050000001
-192396.5,199503,14.1,391899.5,13.91243225,13.9516222,13.99081215,0.039189950000001
-192396.5,199503,14.1,391899.5,13.91243225,13.9516222,13.99081215,0.039189950000001
-192396.5,199323,14.1,391719.5,13.90604225,13.9452142,13.98438615,0.039171950000002
-192396.5,199404,14.1,391800.5,13.90891775,13.9480978,13.98727785,0.039180050000002
-192396.5,199436,14.1,391832.5,13.91005375,13.949237,13.98842025,0.039183250000001
-192396.5,199269,14.1,391665.5,13.90412525,13.9432918,13.98245835,0.039166550000001
-192396.5,199479,14.1,391875.5,13.91158025,13.9507678,13.98995535,0.039187550000001
-192396.5,353482,19.6,545878.5,19.37868675,19.4332746,19.48786245,0.054587850000003
-192396.5,353319,19.6,545715.5,19.37290025,19.4274718,19.48204335,0.05457155
-192396.5,353384,19.6,545780.5,19.37520775,19.4297858,19.48436385,0.054578050000002
-192396.5,353262,19.6,545658.5,19.37087675,19.4254426,19.48000845,0.054565850000003
-192396.5,353406,19.6,545802.5,19.37598875,19.430569,19.48514925,0.054580249999999
-192396.5,353471,19.6,545867.5,19.37829625,19.432883,19.48746975,0.054586750000002
-192396.5,353293,19.6,545689.5,19.37197725,19.4265462,19.48111515,0.054568950000002
-192396.5,353297,19.6,545693.5,19.37211925,19.4266886,19.48125795,0.054569350000001
-192396.5,353371,19.6,545767.5,19.37474625,19.429323,19.48389975,0.054576750000001
-192396.5,353329,19.6,545725.5,19.37325525,19.4278278,19.48240035,0.054572550000001
-192396.5,353395,19.6,545791.5,19.37559825,19.4301774,19.48475655,0.054579150000002
