host_unix_time_ns,lsl_timestamp_s,device_clock_us,value_raw,value_filtered,sequence,parser_mode,raw_line
1775220306498562038,73841.286879253,2555104,-191686.0,8523.10553771138,231,tagged_csv,"D,231,2555104,-191686.00"
1775220306508283308,73841.296594694,2565104,-191112.0,8980.451815145934,232,tagged_csv,"D,232,2565104,-191112.00"
1775220306518465350,73841.306776791,2575104,-190998.0,9417.500354237243,233,tagged_csv,"D,233,2575104,-190998.00"
1775220306528480956,73841.316793797,2585104,-190654.0,9849.04810586173,234,tagged_csv,"D,234,2585104,-190654.00"
1775220306538348063,73841.326658931,2595104,-190495.0,10264.483543731563,235,tagged_csv,"D,235,2595104,-190495.00"
1775220306553392878,73841.341704584,2610104,-189863.0,10888.398680906073,236,tagged_csv,"D,236,2610104,-189863.00"
1775220306563434537,73841.351746994,2620104,-189434.0,11305.113976435416,237,tagged_csv,"D,237,2620104,-189434.00"
1775220306573506508,73841.361818799,2630104,-188833.0,11732.723704081378,238,tagged_csv,"D,238,2630104,-188833.00"
1775220306583702219,73841.372019703,2640104,-188181.0,12173.598800640146,239,tagged_csv,"D,239,2640104,-188181.00"
1775220306593590798,73841.381904068,2650104,-187393.0,12634.995018077578,240,tagged_csv,"D,240,2650104,-187393.00"
1775220306603640639,73841.391958730,2660104,-186783.0,13105.17630439013,241,tagged_csv,"D,241,2660104,-186783.00"
1775220306613973688,73841.402295285,2670104,-186435.0,13568.13455103978,242,tagged_csv,"D,242,2670104,-186435.00"
1775220306628812862,73841.417127854,2685104,-186048.0,14236.092278991244,243,tagged_csv,"D,243,2685104,-186048.00"
1775220306638639689,73841.426951284,2695104,-185772.0,14671.388551001059,244,tagged_csv,"D,244,2695104,-185772.00"
1775220306649033167,73841.437350768,2705104,-184754.0,15141.132750889257,245,tagged_csv,"D,245,2705104,-184754.00"
1775220306658897429,73841.447214257,2715104,-183807.0,15639.09107159404,246,tagged_csv,"D,246,2715104,-183807.00"
1775220306669040665,73841.457352938,2725104,-183003.0,16155.14177988746,247,tagged_csv,"D,247,2725104,-183003.00"
1775220306679096568,73841.467410647,2735104,-182488.0,16671.130373041116,248,tagged_csv,"D,248,2735104,-182488.00"
1775220306694021163,73841.482335327,2750104,-181991.0,17421.256671208976,249,tagged_csv,"D,249,2750104,-181991.00"
1775220306704047171,73841.492358653,2760104,-182158.0,17881.904588281235,250,tagged_csv,"D,250,2760104,-182158.00"
1775220306714145887,73841.502458854,2770104,-182522.0,18293.801466690435,251,tagged_csv,"D,251,2770104,-182522.00"
1775220306724117296,73841.512430273,2780104,-183418.0,18628.37888552589,252,tagged_csv,"D,252,2780104,-183418.00"
1775220306734151747,73841.522465343,2790104,-184153.0,18899.725670997315,253,tagged_csv,"D,253,2790104,-184153.00"
1775220306744227290,73841.532542320,2800104,-184376.0,19141.84796107799,254,tagged_csv,"D,254,2800104,-184376.00"
1775220306754199238,73841.542511347,2810104,-184033.0,19389.933878828975,255,tagged_csv,"D,255,2810104,-184033.00"
1775220306769298969,73841.557612213,2825104,-182993.0,19819.58662858099,256,tagged_csv,"D,256,2825104,-182993.00"
1775220306779354139,73841.567668932,2835104,-182520.0,20117.05102249293,257,tagged_csv,"D,257,2835104,-182520.00"
1775220306789322697,73841.577638789,2845104,-182378.0,20405.324766041944,258,tagged_csv,"D,258,2845104,-182378.00"
1775220306799290384,73841.587603373,2855104,-182559.0,20665.856267184572,259,tagged_csv,"D,259,2855104,-182559.00"
1775220306809434434,73841.597747281,2865104,-182173.0,20933.805139440577,260,tagged_csv,"D,260,2865104,-182173.00"
1775220306819369087,73841.607681685,2875104,-181745.0,21211.21581782642,261,tagged_csv,"D,261,2875104,-181745.00"
1775220306834482765,73841.622796519,2890104,-181464.0,21615.694265849626,262,tagged_csv,"D,262,2890104,-181464.00"
1775220306844484098,73841.632795459,2900104,-181697.0,21855.631068815535,263,tagged_csv,"D,263,2900104,-181697.00"
1775220306854522272,73841.642838882,2910104,-182035.0,22061.401752104313,264,tagged_csv,"D,264,2910104,-182035.00"
1775220306864681661,73841.652993940,2920104,-182481.0,22228.641448868235,265,tagged_csv,"D,265,2920104,-182481.00"
1775220306874582589,73841.662893746,2930104,-183203.0,22343.311609057564,266,tagged_csv,"D,266,2930104,-183203.00"
1775220306884609694,73841.672923177,2940104,-184037.0,22401.89885834587,267,tagged_csv,"D,267,2940104,-184037.00"
1775220306894747653,73841.683066750,2950104,-184803.0,22411.738655492605,268,tagged_csv,"D,268,2950104,-184803.00"
1775220306909730411,73841.698042056,2965104,-185053.0,22403.694545789243,269,tagged_csv,"D,269,2965104,-185053.00"
1775220306919689463,73841.708010966,2975104,-185495.0,22372.518947538018,270,tagged_csv,"D,270,2975104,-185495.00"
1775220306929819676,73841.718135047,2985104,-185622.0,22335.67846004397,271,tagged_csv,"D,271,2985104,-185622.00"
1775220306939805893,73841.728124926,2995104,-185383.0,22315.14494427966,272,tagged_csv,"D,272,2995104,-185383.00"
1775220306949897215,73841.738212279,3005104,-184479.0,22349.267443814984,273,tagged_csv,"D,273,3005104,-184479.00"
1775220306959739371,73841.748053144,3015104,-184159.0,22400.290277164953,274,tagged_csv,"D,274,3015104,-184159.00"
1775220306974871233,73841.763183710,3030104,-184176.0,22468.76840357107,275,tagged_csv,"D,275,3030104,-184176.00"
1775220306985131220,73841.773444650,3040104,-184059.0,22518.63839093264,276,tagged_csv,"D,276,3040104,-184059.00"
1775220306994978907,73841.783292570,3050104,-183957.0,22571.590168969997,277,tagged_csv,"D,277,3050104,-183957.00"
1775220307005025623,73841.793339276,3060104,-184049.0,22615.97277513522,278,tagged_csv,"D,278,3060104,-184049.00"
1775220307015060102,73841.803374274,3070104,-184814.0,22612.506788089348,279,tagged_csv,"D,279,3070104,-184814.00"
